Artist1,Artist2,weight,isConnected
Alessia Cara,Jacob Wellfair,0,False
Krimsonn,The American Idiot Broadway Company,0,False
Dizzee Rascal,Stunna Gambino,0,False
Alessia Cara,Youssou N'Dour,0,False
21 Savage,Dae Dae,1,True
A$AP Rocky,ScHoolboy Q,2,True
Au5,Offset,0,False
A Great Big World,Christina Aguilera,1,True
Rick Ross,Usher,1,True
Gotye,Kimbra,1,True
CHRNS,Kiki Dee,0,False
Lennon,mabanua,1,True
Gil Zambrano,Ryan Hurd,0,False
2 Chainz,OG Maco,1,True
BEAUZ,Nicki Minaj,0,False
Bill Medley,Jennifer Warnes,1,True
Rick Ross,Troye Sivan,0,False
Elyn,T.I.,0,False
Lennon,Orono,1,True
Chris Brown,Trey Songz,1,True
Bankroll Fresh,Don Q,0,False
Glen Hansard,Markéta Irglová,1,True
The Cardigans,The Partysquad,0,False
DJ Luian,Darell,1,True
Dave Days,Silk Sonic,0,False
Doja Cat,SZA,1,True
Sia,ZAYN,1,True
Kodak Black,VIZE,0,False
A Great Big World,The Jordanaires,0,False
